SCP isolated test launcher
Host=127.0.0.1 Port=8001 DataDir=data-test
StartupGate=0 DevMode=0 AutoApprove=0 ClosedLoop=0
ProviderKeysPresent=False
2026-08-17 18:00:05,896 | INFO    | scp.judge | [V107] LogicalAuditorEngine initialized: model=z-ai/glm-5.2
2026-08-17 18:00:05,899 | INFO    | scp.judge | [V106] SelfQuestioningEngine initialized
2026-08-17 18:00:05,901 | INFO    | scp.judge | [V106] DoSProtectionEngine initialized
2026-08-17 18:00:05,905 | INFO    | scp.judge | [ARCH-1] LLM Gateway initialized: ollama_default.enabled=True model=llama3.2:latest
2026-08-17 18:00:05,908 | INFO    | scp.judge | [OPT-9] ReActAgent initialized (fallback for low-confidence routing)
2026-08-17 18:00:05,911 | INFO    | scp.judge | [V103] DomainAntibodySystem initialized: 38 antibodies
2026-08-17 18:00:05,919 | INFO    | scp.judge | [V102] UnifiedPatternDetector initialized: 69 patterns
2026-08-17 18:00:05,920 | INFO    | scp.judge | [V102] PipelineOrchestrator initialized
2026-08-17 18:00:05,923 | INFO    | scp.judge | [V102] UserNotificationSystem initialized
2026-08-17 18:00:05,923 | INFO    | scp.judge | [V104.45 #BV] V14SelfHealingEngine initialized for /ask path
2026-08-17 18:00:06,511 | INFO    | scp.judge | [OPT-1] KnowledgeArbiter initialized (wired to ReputationStore)
2026-08-17 18:00:06,511 | INFO    | scp.api | RealityJudge ready: 53 SLMs, V98 modules=True
2026-08-17 18:00:06,512 | INFO    | scp.api | V104.36 PredictiveOrchestrator wired to production judge (SelfLearner will retrain judge.v13.classifier)
2026-08-17 18:00:06,513 | INFO    | scp.api | V103 AttackCrawler started (10 min interval)
2026-08-17 18:00:06,513 | INFO    | scp.security.cross_language_learner | CrossLanguage: transferred 48 patterns to 8 languages
2026-08-17 18:00:06,514 | INFO    | scp.api | V104 CrossLanguage: 48 patterns across 8 langs (6 EN patterns ready)
2026-08-17 18:00:06,514 | INFO    | scp.api | [V104.44 #CQ] CrossLanguage: 48 patterns loaded into AttackPatternMemory
2026-08-17 18:00:06,514 | INFO    | scp.api | V104.2 FastLearningEngine started (CANONICAL — post G3-MERGE) (10 concurrent Ollama + 5 concurrent Wiki + adaptive 1-30 min). RealLearningEngine merged in; V104.1 sequential API still available via /v104/learn/{ollama,local,news,all} endpoints.
2026-08-17 18:00:06,516 | INFO    | scp.security.attack_crawler | AttackCrawler started (interval=3600s)
2026-08-17 18:00:06,516 | INFO    | scp.core.startup_optimizer | V104.3 Deferred background start: waiting 0s before starting schedulers...
2026-08-17 18:00:06,516 | INFO    | scp.api | V104.3 StartupOptimizer started (deferred background init)
